,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid
771,1615,842,CLD_CYP1A1_6hr,1,1,"Data from the assay component CLD_CYP1A1_6hr was analyzed at the endpoint, CLD_CYP1A1_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP1A1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,337
772,1616,843,CLD_CYP1A2_6hr,1,1,"Data from the assay component CLD_CYP1A2_6hr was analyzed at the endpoint, CLD_CYP1A2_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP1A2. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,337
773,1617,844,CLD_CYP2B6_6hr,1,1,"Data from the assay component CLD_CYP2B6_6hr was analyzed at the endpoint, CLD_CYP2B6_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP2B6. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,337
774,1618,845,CLD_CYP2C19_6hr,1,1,"Data from the assay component CLD_CYP2C19_6hr was analyzed at the endpoint, CLD_CYP2C19_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP2C19. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,337
775,1619,846,CLD_CYP2C9_6hr,1,1,"Data from the assay component CLD_CYP2C9_6hr was analyzed at the endpoint, CLD_CYP2C9_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP2C9. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,337
776,1620,847,CLD_CYP3A4_6hr,1,1,"Data from the assay component CLD_CYP3A4_6hr was analyzed at the endpoint, CLD_CYP3A4_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP3A4. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,300
777,1621,848,CLD_GAPDH_6hr,1,1,"Data from the assay component CLD_GAPDH_6hr was analyzed at the endpoint, CLD_GAPDH_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene GAPDH. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where subfamily is baseline control.",background control,log2_fold_induction,0,,gain,rna,mRNA,background measurement,baseline control,0,0,1,310,337
778,1622,849,CLD_GSTA2_6hr,1,1,"Data from the assay component CLD_GSTA2_6hr was analyzed at the endpoint, CLD_GSTA2_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene GSTA2. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transferase intended target family, where subfamily is alkyl and aryl transferase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transferase,alkyl and aryl transferase,0,0,1,310,337
779,1623,850,CLD_HMGCS2_6hr,1,1,"Data from the assay component CLD_HMGCS2_6hr was analyzed at the endpoint, CLD_HMGCS2_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene HMGCS2. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the lyase intended target family, where subfamily is HMG-CoA synthase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,lyase,HMG-CoA synthase,0,0,1,310,337
780,1624,851,CLD_SLCO1B1_6hr,1,1,"Data from the assay component CLD_SLCO1B1_6hr was analyzed at the endpoint, CLD_SLCO1B1_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene SLCO1B1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transporter intended target family, where subfamily is organic anion transporter.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transporter,organic anion transporter,0,0,1,310,337
781,1625,852,CLD_SULT2A_6hr,1,1,"Data from the assay component CLD_SULT2A_6hr was analyzed at the endpoint, CLD_SULT2A_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene SULT2A1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transferase intended target family, where subfamily is sulfotransferase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transferase,sulfotransferase,0,0,1,308,337
782,1626,853,CLD_UGT1A1_6hr,1,1,"Data from the assay component CLD_UGT1A1_6hr was analyzed at the endpoint, CLD_UGT1A1_6hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene UGT1A1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transferase intended target family, where subfamily is glucuronosyltransferase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transferase,glucuronosyltransferase,0,0,1,310,337
783,1627,854,CLD_ABCB1_24hr,1,1,"Data from the assay component CLD_ABCB1_24hr was analyzed at the endpoint, CLD_ABCB1_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene ABCB1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transporter intended target family, where subfamily is ABC transporter.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transporter,ABC transporter,0,0,1,310,345
784,1628,855,CLD_ABCB11_24hr,1,1,"Data from the assay component CLD_ABCB11_24hr was analyzed at the endpoint, CLD_ABCB11_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene ABCB11. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transporter intended target family, where subfamily is ABC transporter.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transporter,ABC transporter,0,0,1,310,344
785,1629,856,CLD_ABCG2_24hr,1,1,"Data from the assay component CLD_ABCG2_24hr was analyzed at the endpoint, CLD_ABCG2_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene ABCG2. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transporter intended target family, where subfamily is ABC transporter.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transporter,ABC transporter,0,0,1,310,345
786,1630,857,CLD_ACTIN_24hr,1,1,"Data from the assay component CLD_ACTIN_24hr was analyzed at the endpoint, CLD_ACTIN_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene ACTA1. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where subfamily is baseline control.",background control,log2_fold_induction,0,,gain,rna,mRNA,background measurement,baseline control,0,0,1,310,345
787,1631,858,CLD_CYP1A1_24hr,1,1,"Data from the assay component CLD_CYP1A1_24hr was analyzed at the endpoint, CLD_CYP1A1_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP1A1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,309
788,1632,859,CLD_CYP1A2_24hr,1,1,"Data from the assay component CLD_CYP1A2_24hr was analyzed at the endpoint, CLD_CYP1A2_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP1A2. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,345
789,1633,860,CLD_CYP2B6_24hr,1,1,"Data from the assay component CLD_CYP2B6_24hr was analyzed at the endpoint, CLD_CYP2B6_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP2B6. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,342
790,1634,861,CLD_CYP2C19_24hr,1,1,"Data from the assay component CLD_CYP2C19_24hr was analyzed at the endpoint, CLD_CYP2C19_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP2C19. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,345
791,1635,862,CLD_CYP2C9_24hr,1,1,"Data from the assay component CLD_CYP2C9_24hr was analyzed at the endpoint, CLD_CYP2C9_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP2C9. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,344
792,1636,863,CLD_CYP3A4_24hr,1,1,"Data from the assay component CLD_CYP3A4_24hr was analyzed at the endpoint, CLD_CYP3A4_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP3A4. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,289
793,1637,864,CLD_GAPDH_24hr,1,1,"Data from the assay component CLD_GAPDH_24hr was analyzed at the endpoint, CLD_GAPDH_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene GAPDH. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where subfamily is baseline control.",background control,log2_fold_induction,0,,gain,rna,mRNA,background measurement,baseline control,0,0,1,310,345
794,1638,865,CLD_GSTA2_24hr,1,1,"Data from the assay component CLD_GSTA2_24hr was analyzed at the endpoint, CLD_GSTA2_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene GSTA2. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transferase intended target family, where subfamily is alkyl and aryl transferase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transferase,alkyl and aryl transferase,0,0,1,310,345
795,1639,866,CLD_HMGCS2_24hr,1,1,"Data from the assay component CLD_HMGCS2_24hr was analyzed at the endpoint, CLD_HMGCS2_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene HMGCS2. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the lyase intended target family, where subfamily is HMG-CoA synthase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,lyase,HMG-CoA synthase,0,0,1,310,345
796,1640,867,CLD_SLCO1B1_24hr,1,1,"Data from the assay component CLD_SLCO1B1_24hr was analyzed at the endpoint, CLD_SLCO1B1_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene SLCO1B1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transporter intended target family, where subfamily is organic anion transporter.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transporter,organic anion transporter,0,0,1,310,345
797,1641,868,CLD_SULT2A_24hr,1,1,"Data from the assay component CLD_SULT2A_24hr was analyzed at the endpoint, CLD_SULT2A_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene SULT2A1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transferase intended target family, where subfamily is sulfotransferase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transferase,sulfotransferase,0,0,1,310,343
798,1642,869,CLD_UGT1A1_24hr,1,1,"Data from the assay component CLD_UGT1A1_24hr was analyzed at the endpoint, CLD_UGT1A1_24hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene UGT1A1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transferase intended target family, where subfamily is glucuronosyltransferase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transferase,glucuronosyltransferase,0,0,1,310,345
799,1643,870,CLD_ABCB1_48hr,1,1,"Data from the assay component CLD_ABCB1_48hr was analyzed at the endpoint, CLD_ABCB1_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene ABCB1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transporter intended target family, where subfamily is ABC transporter.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transporter,ABC transporter,0,0,1,310,349
800,1644,871,CLD_ABCB11_48hr,1,1,"Data from the assay component CLD_ABCB11_48hr was analyzed at the endpoint, CLD_ABCB11_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene ABCB11. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transporter intended target family, where subfamily is ABC transporter.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transporter,ABC transporter,0,0,1,310,346
801,1645,872,CLD_ABCG2_48hr,1,1,"Data from the assay component CLD_ABCG2_48hr was analyzed at the endpoint, CLD_ABCG2_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene ABCG2. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transporter intended target family, where subfamily is ABC transporter.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transporter,ABC transporter,0,0,1,310,349
802,1646,873,CLD_ACTIN_48hr,1,1,"Data from the assay component CLD_ACTIN_48hr was analyzed at the endpoint, CLD_ACTIN_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene ACTA1. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where subfamily is baseline control.",background control,log2_fold_induction,0,,gain,rna,mRNA,background measurement,baseline control,0,0,1,310,349
803,1647,874,CLD_CYP1A1_48hr,1,1,"Data from the assay component CLD_CYP1A1_48hr was analyzed at the endpoint, CLD_CYP1A1_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP1A1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,303
804,1648,875,CLD_CYP1A2_48hr,1,1,"Data from the assay component CLD_CYP1A2_48hr was analyzed at the endpoint, CLD_CYP1A2_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP1A2. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,317
805,1649,876,CLD_CYP2B6_48hr,1,1,"Data from the assay component CLD_CYP2B6_48hr was analyzed at the endpoint, CLD_CYP2B6_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP2B6. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,342
806,1650,877,CLD_CYP2C19_48hr,1,1,"Data from the assay component CLD_CYP2C19_48hr was analyzed at the endpoint, CLD_CYP2C19_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP2C19. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,349
807,1651,878,CLD_CYP2C9_48hr,1,1,"Data from the assay component CLD_CYP2C9_48hr was analyzed at the endpoint, CLD_CYP2C9_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP2C9. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,347
808,1652,879,CLD_CYP3A4_48hr,1,1,"Data from the assay component CLD_CYP3A4_48hr was analyzed at the endpoint, CLD_CYP3A4_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP3A4. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where subfamily is xenobiotic metabolism.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,cyp,xenobiotic metabolism,0,0,1,310,225
809,1653,880,CLD_GAPDH_48hr,1,1,"Data from the assay component CLD_GAPDH_48hr was analyzed at the endpoint, CLD_GAPDH_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene GAPDH. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where subfamily is baseline control.",background control,log2_fold_induction,0,,gain,rna,mRNA,background measurement,baseline control,0,0,1,310,349
810,1654,881,CLD_GSTA2_48hr,1,1,"Data from the assay component CLD_GSTA2_48hr was analyzed at the endpoint, CLD_GSTA2_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene GSTA2. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transferase intended target family, where subfamily is alkyl and aryl transferase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transferase,alkyl and aryl transferase,0,0,1,310,343
811,1655,882,CLD_HMGCS2_48hr,1,1,"Data from the assay component CLD_HMGCS2_48hr was analyzed at the endpoint, CLD_HMGCS2_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene HMGCS2. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the lyase intended target family, where subfamily is HMG-CoA synthase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,lyase,HMG-CoA synthase,0,0,1,310,344
812,1656,883,CLD_SLCO1B1_48hr,1,1,"Data from the assay component CLD_SLCO1B1_48hr was analyzed at the endpoint, CLD_SLCO1B1_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene SLCO1B1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transporter intended target family, where subfamily is organic anion transporter.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transporter,organic anion transporter,0,0,1,310,341
813,1657,884,CLD_SULT2A_48hr,1,1,"Data from the assay component CLD_SULT2A_48hr was analyzed at the endpoint, CLD_SULT2A_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene SULT2A1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transferase intended target family, where subfamily is sulfotransferase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transferase,sulfotransferase,0,0,1,310,349
814,1658,885,CLD_UGT1A1_48hr,1,1,"Data from the assay component CLD_UGT1A1_48hr was analyzed at the endpoint, CLD_UGT1A1_48hr, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene UGT1A1. Furthermore, this assay endpoint can be referred to as a primary readout. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the transferase intended target family, where subfamily is glucuronosyltransferase.",reporter gene,log2_fold_induction,0,,gain,rna,mRNA,transferase,glucuronosyltransferase,0,0,1,310,349
815,1659,1013,TOX21_RAR_LUC_Agonist,1,1,"Data from the assay component TOX21_RAR_LUC_Agonist was analyzed into 1 assay endpoint. This assay endpoint, TOX21_RAR_LUC_Agonist, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene RARA. Furthermore, this assay endpoint can be referred to as a primary readout, because the performed assay has only produced 1 assay endpoint. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family.",agonist,percent_activity,0,Retinol,gain,protein,receptor,nuclear receptor,non-steroidal,0,0,1,7522,68362
816,1660,1014,TOX21_RAR_LUC_Agonist_viability,1,1,"TOX21_RAR_LUC_Agonist_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity.",viability,percent_activity,1,tetraoctylammonium bromide,loss,cellular,cellular,cell cycle,cytotoxicity,0,1,1,7522,67864
817,1661,1015,TOX21_RORg_LUC_CHO_Antagonist,1,1,"Data from the assay component TOX21_RORg_LUC_CHO_Antagonist was analyzed into 1 assay endpoint. This assay endpoint, TOX21_RORg_LUC_CHO_Antagonist, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, loss-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene NR1F3. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family.",antagonist,percent_activity,0,TO-901317,loss,protein,receptor,nuclear receptor,orphan,0,0,1,7872,52522
