,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid,aid,assay_component_name,assay_component_desc,assay_component_target_desc,parameter_readout_type,assay_design_type,assay_design_type_sub,biological_process_target,detection_technology_type,detection_technology_type_sub,detection_technology,key_assay_reagent_type,key_assay_reagent,technological_target_type,technological_target_type_sub,asid,assay_name,assay_desc,timepoint_hr,organism_id,organism,tissue,cell_format,cell_free_component_source,cell_short_name,cell_growth_mode,assay_footprint,assay_format_type,assay_format_type_sub,content_readout_type,dilution_solvent,dilution_solvent_percent_max
1190,2563,2516,ERF_CR_ENZ_hCDK2,1,1,"Data from the assay component ERF_CR_ENZ_hCDK2 was analyzed at the assay endpoint, ERF_CR_ENZ_hCDK2, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene CDK2. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,staurosporine,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,-1,-1,780,ERF_CR_ENZ_hCDK2,ERF_CR_ENZ_hCDK2 is an assay component calculated from the ERF_CR_ENZ_hCDK2 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with LANCE technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, ATP + Ulight-CFFKNIVTPRTPPPSQGK-amide, are indicative of changes in enzyme function and kinetics related to the gene CDK2.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,LANCE,substrate,ATP + Ulight-CFFKNIVTPRTPPPSQGK-amide,protein,enzyme,28,ERF_CR_ENZ_hCDK2,"ERF_CR_ENZ_hCDK2 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 96-well plate. See CDK2 /CyclinA Human CMGC Kinase Enzymatic LANCE Assay [Km ATP], Cerep.",0.5,9606.0,human,NA,cell-free,human recombinant cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
1191,2564,2517,ERF_PL_ENZ_hCHK1,1,1,"Data from the assay component ERF_PL_ENZ_hCHK1 was analyzed at the assay endpoint, ERF_PL_ENZ_hCHK1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene CHEK1. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,staurosporine,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,-1,-1,719,ERF_PL_ENZ_hCHK1,ERF_PL_ENZ_hCHK1 is an assay component calculated from the ERF_PL_ENZ_hCHK1 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by scintillation counting with radiometry technology.,"Changes in scintillation counting produced from the regulation of catalytic activity reaction involving the key substrate, CHKtide, are indicative of changes in enzyme function and kinetics related to the gene CHEK1.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,scintillation counting,Lysate-based radiodetection,substrate,CHKtide,protein,enzyme,28,ERF_PL_ENZ_hCHK1,"ERF_PL_ENZ_hCHK1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 96-well plate. See CHK1 Human CAMK Kinase Enzymatic Radiometric Assay  [10 uM ATP], Panlabs.",0.5,9606.0,human,NA,cell-free,human recombinant insect Sf21 cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,1.0
1192,2566,2519,ERF_CR_ENZ_hCSF1R,1,1,"Data from the assay component ERF_CR_ENZ_hCSF1R was analyzed at the assay endpoint, ERF_CR_ENZ_hCSF1R, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene CSF1R. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is receptor tyrosine kinase.",enzymatic activity,percent_activity,0,staurosporine,loss,protein,enzyme,kinase,receptor tyrosine kinase,0,0,1,-1,-1,793,ERF_CR_ENZ_hCSF1R,ERF_CR_ENZ_hCSF1R is an assay component calculated from the ERF_CR_ENZ_hCSF1R assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with LANCE technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, ATP + Ulight-TK peptide, are indicative of changes in receptor function and kinetics related to the gene CSF1R.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,LANCE,substrate,ATP + Ulight-TK peptide,protein,receptor,28,ERF_CR_ENZ_hCSF1R,"ERF_CR_ENZ_hCSF1R is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.25 hour after chemical dosing in a 96-well plate. See Fms (CSFR) Human RTK Kinase Enzymatic LANCE Assay  [Km ATP], Cerep.",0.25,9606.0,human,NA,cell-free,human recombinant cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
1193,2567,2520,ERF_PL_ENZ_hCSNK1A1,1,1,"Data from the assay component ERF_PL_ENZ_hCSNK1A1 was analyzed at the assay endpoint, ERF_PL_ENZ_hCSNK1A1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene CSNK1A1. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,IC 261,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,-1,-1,720,ERF_PL_ENZ_hCSNK1A1,ERF_PL_ENZ_hCSNK1A1 is an assay component calculated from the ERF_PL_ENZ_hCSNK1A1 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by scintillation counting with radiometry technology.,"Changes in scintillation counting produced from the regulation of catalytic activity reaction involving the key substrate, CK1 substrate peptide, are indicative of changes in enzyme function and kinetics related to the gene CSNK1A1.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,scintillation counting,Lysate-based radiodetection,substrate,CK1 substrate peptide,protein,enzyme,28,ERF_PL_ENZ_hCSNK1A1,"ERF_PL_ENZ_hCSNK1A1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 96-well plate. See CK1alpha Human CK1 Kinase Enzymatic Radiometric Assay  [10 uM ATP], Panlabs.",0.5,9606.0,human,NA,cell-free,human recombinant E. coli,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.1
1194,2568,2521,ERF_PL_ENZ_hCSNK1D,1,1,"Data from the assay component ERF_PL_ENZ_hCSNK1D was analyzed at the assay endpoint, ERF_PL_ENZ_hCSNK1D, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene CSNK1D. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,IC 261,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,-1,-1,722,ERF_PL_ENZ_hCSNK1D,ERF_PL_ENZ_hCSNK1D is an assay component calculated from the ERF_PL_ENZ_hCSNK1D assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by scintillation counting with radiometry technology.,"Changes in scintillation counting produced from the regulation of catalytic activity reaction involving the key substrate, CK1tide, are indicative of changes in enzyme function and kinetics related to the gene CSNK1D.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,scintillation counting,Lysate-based radiodetection,substrate,CK1tide,protein,enzyme,28,ERF_PL_ENZ_hCSNK1D,"ERF_PL_ENZ_hCSNK1D is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 96-well plate. See CK1delta Human CK1 Kinase Enzymatic Radiometric Assay  [10 uM ATP], Panlabs.",0.5,9606.0,human,NA,cell-free,human recombinant E. coli,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.1
1195,2569,2522,ERF_PL_ENZ_hCSNK2A1,1,1,"Data from the assay component ERF_PL_ENZ_hCSNK2A1 was analyzed at the assay endpoint, ERF_PL_ENZ_hCSNK2A1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene CSNK2A1. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,hypericin,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,-1,-1,723,ERF_PL_ENZ_hCSNK2A1,ERF_PL_ENZ_hCSNK2A1 is an assay component calculated from the ERF_PL_ENZ_hCSNK2A1 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by scintillation counting with radiometry technology.,"Changes in scintillation counting produced from the regulation of catalytic activity reaction involving the key substrate, CK2 substrate peptide, are indicative of changes in enzyme function and kinetics related to the gene CSNK2A1.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,scintillation counting,Lysate-based radiodetection,substrate,CK2 substrate peptide,protein,enzyme,28,ERF_PL_ENZ_hCSNK2A1,"ERF_PL_ENZ_hCSNK2A1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 96-well plate. See CK2 (alpha1/alpha2/beta) Human Other Protein Kinase Enzymatic Radiometric Assay [10 uM ATP], Panlabs.",0.5,9606.0,human,NA,cell-free,human recombinant Sf21 insect cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.1
1196,2570,2523,ERF_PL_ENZ_hCYP19A1,1,1,"Data from the assay component ERF_PL_ENZ_hCYP19A1 was analyzed at the assay endpoint, ERF_PL_ENZ_hCYP19A1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene CYP19A1. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cyp intended target family, where the subfamily is steroidogenesis-related.",enzymatic activity,percent_activity,0,testosterone,loss,protein,enzyme,cyp ,steroidogenesis-related,0,0,1,-1,-1,698,ERF_PL_ENZ_hCYP19A1,ERF_PL_ENZ_hCYP19A1 is an assay component calculated from the ERF_PL_ENZ_hCYP19A1 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with spectrophotometry technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, dibenzylfluorescein, are indicative of changes in enzyme function and kinetics related to the gene CYP19A1.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Colorimetric,Absorbance ,spectrophotometry,substrate,dibenzylfluorescein,protein,enzyme,28,ERF_PL_ENZ_hCYP19A1,"ERF_PL_ENZ_hCYP19A1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.75 hour after chemical dosing in a 96-well plate. See CYP19A1 Human CYP450 Enzymatic Assay, Panlabs.",0.75,9606.0,human,NA,cell-free,human recombinant insect BTI-TN-5B1-4 cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.1
1197,2571,2524,ERF_CR_ENZ_hDUSP3,1,1,"Data from the assay component ERF_CR_ENZ_hDUSP3 was analyzed at the assay endpoint, ERF_CR_ENZ_hDUSP3, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene DUSP3. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is dual-specific kinase.",enzymatic activity,percent_activity,0,sodium orthovanadate,loss,protein,enzyme,kinase,dual-specific kinase,0,0,1,-1,-1,703,ERF_CR_ENZ_hDUSP3,ERF_CR_ENZ_hDUSP3 is an assay component calculated from the ERF_CR_ENZ_hDUSP3 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with spectrophotometry technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, 6,8-difluoro-4-methylumbelliferyl, are indicative of changes in enzyme function and kinetics related to the gene DUSP3.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Colorimetric,Absorbance ,spectrophotometry,substrate,"6,8-difluoro-4-methylumbelliferyl",protein,enzyme,28,ERF_CR_ENZ_hDUSP3,"ERF_PL_ENZ_hDUSP3 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 96-well plate. See VHR Human Phosphatase Enzymatic Assay, PhosphataseProfiler.",0.5,9606.0,human,NA,cell-free,human full length recombinant,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
1198,2572,2525,ERF_CR_ENZ_hDYRK1A,1,1,"Data from the assay component ERF_CR_ENZ_hDYRK1A was analyzed at the assay endpoint, ERF_CR_ENZ_hDYRK1A, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene DYRK1A. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,staurosporine,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,-1,-1,766,ERF_CR_ENZ_hDYRK1A,ERF_CR_ENZ_hDYRK1A is an assay component calculated from the ERF_CR_ENZ_hDYRK1A assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with LANCE technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, ATP + Ulight-CFFKNIVTPRTPPPSQGK-amide, are indicative of changes in enzyme function and kinetics related to the gene DYRK1A.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,LANCE,substrate,ATP + Ulight-CFFKNIVTPRTPPPSQGK-amide,protein,enzyme,28,ERF_CR_ENZ_hDYRK1A,"ERF_CR_ENZ_hDYRK1A is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 96-well plate. See DYRK1A Human CMGC Kinase Enzymatic LANCE Assay  [Km ATP], Cerep.",0.5,9606.0,human,NA,cell-free,human recombinant cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
1199,2573,2526,ERF_CR_ENZ_hEGFR,1,1,"Data from the assay component ERF_CR_ENZ_hEGFR was analyzed at the assay endpoint, ERF_CR_ENZ_hEGFR, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene EGFR. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is receptor tyrosine kinase.",enzymatic activity,percent_activity,0,hydrochloride,loss,protein,enzyme,kinase,receptor tyrosine kinase,0,0,1,-1,-1,768,ERF_CR_ENZ_hEGFR,ERF_CR_ENZ_hEGFR is an assay component calculated from the ERF_CR_ENZ_hEGFR assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with LANCE technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, ATP + Ulight-CAGAGAIETDKEYYTVKD, are indicative of changes in receptor function and kinetics related to the gene EGFR.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,LANCE,substrate,ATP + Ulight-CAGAGAIETDKEYYTVKD,protein,receptor,28,ERF_CR_ENZ_hEGFR,"ERF_CR_ENZ_hEGFR is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.25 hour after chemical dosing in a 96-well plate. See EGFR Human RTK Kinase Enzymatic LANCE Assay  [Km ATP], Cerep.",0.25,9606.0,human,NA,cell-free,human recombinant insect cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
1200,2574,2527,ERF_CR_ENZ_hELANE,1,1,"Data from the assay component ERF_CR_ENZ_hELANE was analyzed at the assay endpoint, ERF_CR_ENZ_hELANE, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene ELANE. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the protease intended target family, where the subfamily is serine peptidase.",enzymatic activity,percent_activity,0,"3',4'dichloroisocoumarin",loss,protein,enzyme,protease,serine peptidase,0,0,1,-1,-1,729,ERF_CR_ENZ_hELANE,ERF_CR_ENZ_hELANE is an assay component calculated from the ERF_CR_ENZ_hELANE assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by absorbance with spectrophotometry technology.,"Changes in absorbance produced from the regulation of catalytic activity reaction involving the key substrate, MeO-Suc-Ala-Ala-Pro-Val-p-Nitroanilide, are indicative of changes in enzyme function and kinetics related to the gene ELANE.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Colorimetric,Absorbance ,spectrophotometry,substrate,MeO-Suc-Ala-Ala-Pro-Val-p-Nitroanilide,protein,enzyme,28,ERF_CR_ENZ_hELANE,"ERF_CR_ENZ_hELANE is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 96-well plate. See Neutrophil Elastase Human Chymotrypsin Serine Peptidase Enzymatic Assay, Cerep.",0.5,9606.0,human,NA,cell-free,human neutrophils,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
1201,2575,2528,ERF_CR_ENZ_hEPHA1,1,1,"Data from the assay component ERF_CR_ENZ_hEPHA1 was analyzed at the assay endpoint, ERF_CR_ENZ_hEPHA1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene EPHA1. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is receptor tyrosine kinase.",enzymatic activity,percent_activity,0,staurosporine,loss,protein,enzyme,kinase,receptor tyrosine kinase,0,0,1,-1,-1,731,ERF_CR_ENZ_hEPHA1,ERF_CR_ENZ_hEPHA1 is an assay component calculated from the ERF_CR_ENZ_hEPHA1 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with HTRF technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, ATP + biotinyl-beta Abeta Abeta AAEEEIYEEIEAKKK, are indicative of changes in receptor function and kinetics related to the gene EPHA1.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,HTRF,substrate,ATP + biotinyl-beta Abeta Abeta AAEEEIYEEIEAKKK,protein,receptor,28,ERF_CR_ENZ_hEPHA1,"ERF_CR_ENZ_hEPHA1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 96-well plate. See EphA1 Human RTK Kinase Enzymatic HTRF Assay  [Km ATP], Cerep.",0.5,9606.0,human,NA,cell-free,human recombinant insect cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
1202,2576,2529,ERF_CR_ENZ_hEPHA2,1,1,"Data from the assay component ERF_CR_ENZ_hEPHA2 was analyzed at the assay endpoint, ERF_CR_ENZ_hEPHA2, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene EPHA2. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is receptor tyrosine kinase.",enzymatic activity,percent_activity,0,staurosporine,loss,protein,enzyme,kinase,receptor tyrosine kinase,0,0,1,-1,-1,790,ERF_CR_ENZ_hEPHA2,ERF_CR_ENZ_hEPHA2 is an assay component calculated from the ERF_CR_ENZ_hEPHA2 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with LANCE technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, ATP + Ulight-TK peptide , are indicative of changes in receptor function and kinetics related to the gene EPHA2.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,LANCE,substrate,ATP + Ulight-TK peptideÂ ,protein,receptor,28,ERF_CR_ENZ_hEPHA2,"ERF_CR_ENZ_hEPHA2 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 96-well plate. See EphA2 Human RTK Kinase Enzymatic LANCE Assay  [Km ATP], Cerep.",0.5,9606.0,human,NA,cell-free,human recombinant cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
1203,2577,2530,ERF_CR_ENZ_hEPHB2,1,1,"Data from the assay component ERF_CR_ENZ_hEPHB2 was analyzed at the assay endpoint, ERF_CR_ENZ_hEPHB2, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene EPHB2. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is receptor tyrosine kinase.",enzymatic activity,percent_activity,0,PP2,loss,protein,enzyme,kinase,receptor tyrosine kinase,0,0,1,-1,-1,789,ERF_CR_ENZ_hEPHB2,ERF_CR_ENZ_hEPHB2 is an assay component calculated from the ERF_CR_ENZ_hEPHB2 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with LANCE technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, ATP + Ulight-TK peptide, are indicative of changes in receptor function and kinetics related to the gene EPHB2.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,LANCE,substrate,ATP + Ulight-TK peptide,protein,receptor,28,ERF_CR_ENZ_hEPHB2,"ERF_CR_ENZ_hEPHB2 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.25 hour after chemical dosing in a 96-well plate. See EphB2 Human RTK Kinase Enzymatic LANCE Assay  [Km ATP], Cerep.",0.25,9606.0,human,NA,cell-free,human recombinant cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
1204,2578,2531,ERF_CR_ENZ_hFGFR1,1,1,"Data from the assay component ERF_CR_ENZ_hFGFR1 was analyzed at the assay endpoint, ERF_CR_ENZ_hFGFR1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene FGFR1. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is receptor tyrosine kinase.",enzymatic activity,percent_activity,0,Staurosporine,loss,protein,enzyme,kinase,receptor tyrosine kinase,0,0,1,-1,-1,770,ERF_CR_ENZ_hFGFR1,ERF_CR_ENZ_hFGFR1 is an assay component calculated from the ERF_CR_ENZ_hFGFR1 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with LANCE technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, ATP +  Ulight-CAGAGAIETDKEYYTVKD , are indicative of changes in receptor function and kinetics related to the gene FGFR1.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,LANCE,substrate,ATP +  Ulight-CAGAGAIETDKEYYTVKD ,protein,receptor,28,ERF_CR_ENZ_hFGFR1,"ERF_CR_ENZ_hFGFR1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate. See FGFR Human RTK Kinase Enzymatic LANCE Assay  [Km ATP], Cerep.",1.0,9606.0,human,NA,cell-free,human recombinant insect cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
1205,2579,2532,ERF_CR_ENZ_hFGFR3,1,1,"Data from the assay component ERF_CR_ENZ_hFGFR3 was analyzed at the assay endpoint, ERF_CR_ENZ_hFGFR3, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene FGFR3. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is receptor tyrosine kinase.",enzymatic activity,percent_activity,0,staurosporine,loss,protein,enzyme,kinase,receptor tyrosine kinase,0,0,1,-1,-1,775,ERF_CR_ENZ_hFGFR3,ERF_CR_ENZ_hFGFR3 is an assay component calculated from the ERF_CR_ENZ_hFGFR3 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with LANCE technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, ATP + Ulight-CAGAGAIETDKEYYTVKD, are indicative of changes in receptor function and kinetics related to the gene FGFR3.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,LANCE,substrate,ATP + Ulight-CAGAGAIETDKEYYTVKD,protein,receptor,28,ERF_CR_ENZ_hFGFR3,"ERF_CR_ENZ_hFGFR3 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1.5 hour after chemical dosing in a 96-well plate. See FGFR3 Human RTK Kinase Enzymatic LANCE Assay  [Km ATP], Cerep.",1.5,9606.0,human,NA,cell-free,human recombinant cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
1206,2580,2533,ERF_CR_ENZ_hFLT1,1,1,"Data from the assay component ERF_CR_ENZ_hFLT1 was analyzed at the assay endpoint, ERF_CR_ENZ_hFLT1, in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in enzymatic activity as they relate to gene FLT1. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is receptor tyrosine kinase.",enzymatic activity,percent_activity,0,staurosporine,loss,protein,enzyme,kinase,receptor tyrosine kinase,0,0,1,-1,-1,792,ERF_CR_ENZ_hFLT1,ERF_CR_ENZ_hFLT1 is an assay component calculated from the ERF_CR_ENZ_hFLT1 assay. It is designed to measure enzyme activity using a type of enzyme reporter as detected by fluorescence intensity with LANCE technology.,"Changes in fluorescence intensity produced from the regulation of catalytic activity reaction involving the key substrate, ATP + Ulight-TK peptide, are indicative of changes in enzyme function and kinetics related to the gene FLT1.",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,LANCE,substrate,ATP + Ulight-TK peptide,protein,enzyme,28,ERF_CR_ENZ_hFLT1,"ERF_CR_ENZ_hFLT1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.25 hour after chemical dosing in a 96-well plate. See Flt-1 (VEGFR1) Human RTK Kinase Enzymatic LANCE Assay  [Km ATP], Cerep.",0.25,9606.0,human,NA,cell-free,human recombinant Sf9 cells,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
